if_customer_bought,recommend,co_purchase_count
toys,baby,27
toys,bed_bath_table,15
toys,sports_leisure,15
musical_instruments,toys,5
musical_instruments,watches_gifts,2
musical_instruments,bed_bath_table,2
computers_accessories,telephony,20
computers_accessories,bed_bath_table,20
computers_accessories,housewares,19
electronics,computers_accessories,11
electronics,sports_leisure,8
electronics,furniture_decor,8
furniture_living_room,furniture_decor,11
furniture_living_room,bed_bath_table,9
furniture_living_room,office_furniture,5
bed_bath_table,furniture_decor,153
bed_bath_table,housewares,63
bed_bath_table,home_confort,54
luggage_accessories,stationery,6
luggage_accessories,health_beauty,6
luggage_accessories,computers_accessories,5
cool_stuff,baby,31
cool_stuff,bed_bath_table,23
cool_stuff,toys,14
furniture_decor,bed_bath_table,153
furniture_decor,housewares,60
furniture_decor,garden_tools,43
flowers,furniture_decor,1
flowers,costruction_tools_garden,1
sports_leisure,health_beauty,39
sports_leisure,housewares,25
sports_leisure,furniture_decor,22
baby,bed_bath_table,37
baby,cool_stuff,31
baby,toys,27
home_appliances,bed_bath_table,3
home_appliances,garden_tools,3
home_appliances,housewares,2
housewares,bed_bath_table,63
housewares,furniture_decor,60
housewares,sports_leisure,25
auto,bed_bath_table,15
auto,garden_tools,11
auto,telephony,9
garden_tools,furniture_decor,43
garden_tools,housewares,24
garden_tools,bed_bath_table,15
food,sports_leisure,5
food,health_beauty,5
food,perfumery,4
office_furniture,bed_bath_table,10
office_furniture,furniture_decor,8
office_furniture,furniture_living_room,5
health_beauty,sports_leisure,39
health_beauty,bed_bath_table,28
health_beauty,perfumery,25
construction_tools_lights,furniture_decor,18
construction_tools_lights,sports_leisure,4
construction_tools_lights,garden_tools,3
fashion_bags_accessories,unknown,15
fashion_bags_accessories,sports_leisure,11
fashion_bags_accessories,housewares,11
unknown,housewares,21
unknown,bed_bath_table,21
unknown,fashion_bags_accessories,15
consoles_games,housewares,5
consoles_games,sports_leisure,4
consoles_games,toys,4
watches_gifts,furniture_decor,22
watches_gifts,sports_leisure,20
watches_gifts,health_beauty,14
dvds_blu_ray,computers_accessories,1
dvds_blu_ray,housewares,1
