date,predicted_revenue,lower_bound,upper_bound
2018-08-30,23482.433397737208,17206.493896847503,30010.36684901292
2018-08-31,21100.98518555224,15514.075630498317,27251.60680104478
2018-09-01,14913.232874619896,8701.627971265782,21084.964373952575
2018-09-02,17718.076299055923,11131.342625524876,23909.85420696435
2018-09-03,29347.184346506037,23007.11848996343,35467.18327359163
2018-09-04,29387.99694465792,23187.63462394155,35739.95678902852
2018-09-05,28477.577539097678,22193.863314170983,34411.903321594335
2018-09-06,28185.08851072863,21536.242288457146,34328.577607476494
2018-09-07,25213.74935467188,19124.34770862342,31207.985706892414
2018-09-08,20337.895507755784,14561.633120520291,26714.647370496463
2018-09-09,23388.793244740573,16910.971404259642,29397.715261855912
2018-09-10,35213.3626512987,28856.648908574716,41018.028460098896
2018-09-11,35256.17604654982,29015.328705990953,41399.44988307241
2018-09-12,34233.02581140064,28182.089358303256,40359.21666661684
2018-09-13,33730.13576005974,27257.4387204296,39798.94354523053
2018-09-14,31460.9842774739,25096.86919821071,37983.23941308591
2018-09-15,25140.056507902846,18703.777538856753,31267.118461010075
2018-09-16,27755.133620069035,21106.76255690105,33680.25157858223
2018-09-17,39147.11283785847,32832.896110829955,45022.53535327595
2018-09-18,38631.070866443755,32635.630689815265,45141.93134648023
2018-09-19,37013.13089234946,30785.45030778184,43088.296287456345
2018-09-20,35906.12286776446,29551.356170613213,42221.82595299284
2018-09-21,33022.99194720621,27385.31369271484,39254.92094552094
2018-09-22,26077.280957291674,19805.705768184864,31890.649415454915
2018-09-23,28161.345291659934,21885.040411736034,34722.34030562672
2018-09-24,39127.6518647759,33076.35141718685,45276.92690511149
2018-09-25,38158.70949721084,31782.995570850137,44288.338597833084
2018-09-26,36145.364911323784,30184.380129434034,42402.436303598835
2018-09-27,34719.065553850385,28434.669961857206,40727.88349383968
2018-09-28,31582.070614891105,25410.678273647136,37906.13079108578
2018-09-29,24434.939621667014,18589.66152942683,30964.474938239768
2018-09-30,26461.000635909943,20676.66318038202,32458.920040894413
2018-10-01,37509.49942844033,31597.102906009397,43477.38954588307
2018-10-02,36614.8022603961,30864.47091788992,42643.846683497904
2018-10-03,34736.54992279829,28619.276052219608,41103.07772024187
2018-10-04,33508.964450319734,27472.672850860592,39058.486215556375
2018-10-05,30608.30459153413,24206.52568027693,36470.14796457012
2018-10-06,23707.790948068803,17400.71808376902,29812.468875933257
2018-10-07,26068.7346336853,19749.410627619338,31955.170483230664
2018-10-08,37525.90921905977,31400.87244373947,43462.24796938381
2018-10-09,36956.35328573381,30740.574317681585,43062.35095463471
2018-10-10,35381.6552305298,29285.624278027986,42039.55642983958
2018-10-11,34434.51380637395,28218.21281979462,41104.125218560934
2018-10-12,27075.25327211694,21018.84122747748,33335.73458505604
2018-10-13,25015.878574996485,18792.825947183257,31560.21231721501
2018-10-14,27534.600300491493,21573.375253208043,33543.927760746796
2018-10-15,39146.595397553705,33020.62641713658,45443.269553617625
2018-10-16,38580.618486532294,32472.19878626716,44670.44515626354
2018-10-17,36931.50600171492,30749.675959041237,43121.80192878733
2018-10-18,35843.68651827548,30157.987570959012,42229.93282292952
2018-10-19,32953.04251517817,27064.535284267087,38953.67535932209
2018-10-20,25896.427246118925,19601.052964554503,32353.614885403098
2018-10-21,28115.639325953674,21964.1042307626,33926.9517670262
2018-10-22,39446.58205987033,33198.71165384969,45442.488427250646
2018-10-23,38486.43986091017,32318.019736901602,44520.995961035514
2018-10-24,36419.25182078643,30638.633884370945,42368.60181606358
2018-10-25,34915.8848333585,28917.63332860216,41339.475283446525
2018-10-26,31612.455377076236,25673.85372033126,37895.641673582635
2018-10-27,24146.51274431531,17970.405515199185,30535.60676632851
2018-10-28,26066.83834993749,19606.44640412451,32059.800251043118
2018-10-29,37223.948852895715,31060.25485650478,43176.99126421819
2018-10-30,36085.97398387101,29721.222351650038,42475.8562610697
2018-10-31,33925.46790049466,27606.585867881135,39928.91529363996
2018-11-01,32435.773565742616,25987.150211649714,38632.889214182906
2018-11-02,29562.75692076213,23061.947921967647,35573.769917830694
2018-11-03,21984.089802107537,15821.664465908356,28281.061644480207
2018-11-04,24292.419499938227,18434.983113309787,29797.25127323846
2018-11-05,36020.14900815031,29871.931735488197,42105.42456002138
2018-11-06,35488.052180801584,29151.04154533343,41774.174938311175
2018-11-07,34037.02070697433,27800.94648117182,40187.98416841257
2018-11-08,33361.31339753045,27054.777680395888,39372.017911237745
2018-11-09,31060.67553936532,25207.11983746828,37041.69919560829
2018-11-10,24730.648191108317,18221.71540017391,30869.116755742674
2018-11-11,28085.00897064111,22212.190866419183,34567.76772748105
2018-11-12,40950.13073852163,34804.19836835527,47152.038644004504
2018-11-13,41479.57833082006,35496.93239705404,47778.30641540954
2018-11-14,41064.827425297044,34998.746350983936,47467.418316648575
2018-11-15,34322.85503739822,28294.63564310943,40498.796002748786
2018-11-16,40001.18871754118,33516.41142499207,45827.37526441783
2018-11-17,34465.28323536733,27686.965949867506,40287.38528973362
2018-11-18,38558.58181052312,32671.090466516493,45187.308995088206
2018-11-19,52083.98919990481,46067.74925379138,58075.32862466117
2018-11-20,53031.32067092869,46857.449613216544,58517.23916263489
2018-11-21,52850.282476093416,46708.43284474091,59066.79044328508
2018-11-22,53218.45905962298,46952.19123068013,59268.98360176239
2018-11-23,51668.42243808209,45344.66983384375,57801.60437178626
2018-11-24,45733.253748901065,39927.22373512542,52349.56997629944
2018-11-25,49282.47324584884,42707.018346859484,55174.09606789399
2018-11-26,62120.83731071289,55946.81807747686,68312.85501723891
2018-11-27,62101.95184518311,55506.46967010343,68722.6565003783
